slug,words,sent_avg,sent_short_pct,staccato_max,crutch_count,canc_count,english_tokens,spell_candidates,literacy_score,length_flags
ab-testing,855,9.2,18.2,1,0,0,5,1,4,section>57.8%:практические рекомендации
adtech,706,7.4,12.5,1,0,0,3,0,3,
antifragile,1667,11.3,21.4,1,0,0,0,4,5,
auctions,727,7.3,0.0,0,0,0,0,3,4,
base-rate,750,6.7,44.4,1,0,0,0,1,3,section>45.1%:как использовать base rate
bayes-four-faces,1152,18.5,12.5,2,0,7,9,15,5,
bayesian,799,10.5,25.0,1,0,0,1,4,3,
benford,668,7.9,41.7,4,0,1,2,4,3,section>43.9%:в данных продукта
black-swan,1598,24.0,0.0,0,0,0,0,3,4,
bookmaker-bayes,1163,20.8,8.3,1,1,1,7,15,4,
bookshelf,538,11.3,8.0,1,1,0,0,15,4,thin:538w
bootstrap,722,15.0,6.9,1,2,4,1,15,2,
buffon,663,12.6,14.3,1,0,0,2,11,4,
causality,701,5.4,45.5,2,0,0,0,1,3,
clt,684,3.9,68.8,7,0,0,0,0,3,section>46.5%:почему это важно для аналитика
cognitive-biases,584,7.0,0.0,0,0,0,1,0,4,thin:584w
conditions-for-cooperation,1819,16.7,8.3,2,0,0,23,15,4,
confusion-matrix,874,13.3,4.8,1,0,0,5,14,4,
decisions-distance,2064,15.5,0.0,0,0,0,0,3,5,
deck-of-cards,621,8.0,39.1,5,0,0,0,9,2,
elo,683,13.7,0.0,0,0,0,0,7,4,
ergodicity,2793,6.6,40.9,3,0,0,0,1,3,bloated:2793w
euler-formula,663,12.9,9.1,1,1,0,0,15,4,
evolution-of-cooperation,2564,17.0,10.6,2,0,0,74,15,3,bloated:2564w
expected-utility,655,6.3,33.3,1,0,0,0,3,3,section>49.5%:в продуктах
expected-value,735,8.8,0.0,0,0,0,0,0,4,
fibonacci-nature,699,9.2,23.2,2,0,0,5,15,4,
five-letters,674,6.5,40.3,5,0,0,0,1,2,
flaneur,1241,10.0,14.3,1,0,0,2,2,4,
forking-paths,958,21.4,4.9,1,0,7,24,15,5,
gamblers-fallacy,660,8.1,28.6,2,0,0,2,2,3,section>57.4%:в аналитике
gambling-math,663,5.6,35.2,4,0,0,14,15,2,
game-theory,1221,8.9,14.3,1,0,0,0,1,4,section>43.4%:дилемма заключённого
game-theory-distance,3053,22.3,1.5,1,1,0,33,15,4,bloated:3053w
games-and-math,1022,5.3,33.3,1,0,0,0,1,3,
games-that-train-machines,1190,12.2,11.7,3,0,0,53,14,3,section>53.0%:шесть игр которые этот сдвиг построили
good-decisions,792,4.7,61.1,6,0,0,1,3,2,section>52.4%:как думать правильно
hidden-layer,1197,15.5,15.6,2,1,0,43,15,3,
hilbert-godel,741,10.6,18.2,4,0,0,16,15,4,
infinity,703,8.8,20.8,2,0,0,1,10,4,
infinity-paradoxes,651,6.0,20.0,1,0,0,0,1,4,section>55.2%:парадокс Рассела
infinity-types,588,6.9,32.7,2,1,0,0,13,2,thin:588w
invented-or-discovered,700,12.3,6.7,2,1,0,0,15,4,
is-forecast-right,992,18.6,8.7,2,1,0,14,15,4,
kolmogorov,707,11.0,0.0,0,0,0,3,4,4,
llm-eval,628,4.5,60.0,3,0,0,0,0,3,section>41.4%:практический фреймворк
markov-chains,622,8.7,22.5,2,0,0,2,15,4,
markov-deep,616,6.0,47.7,10,0,0,6,15,2,
math-music,602,6.2,44.4,5,0,0,5,13,2,
mcmc,706,18.3,0.0,0,0,0,3,15,4,
millennium-problems,794,8.1,34.7,5,1,0,2,15,2,
monte-carlo,674,6.0,29.7,3,0,0,15,15,2,
multiplication-table,614,14.5,7.4,1,0,0,1,8,4,
nudge,507,6.8,25.0,1,0,0,3,2,4,thin:507w
optionality,1158,13.2,11.1,1,0,0,0,4,4,
oshibki-po-pravilam,2307,10.5,30.0,2,0,0,0,9,5,
penalty,706,14.4,13.3,1,0,0,0,7,4,
pi-in-gaussian,596,10.6,20.5,2,0,0,0,6,4,thin:596w
poker-basics,2600,9.2,23.1,2,0,0,7,3,4,bloated:2600w
poker-bayes,1823,11.1,14.3,1,0,0,0,3,4,
poker-distance,623,12.9,13.8,1,0,0,1,6,4,
poker-exploit,1720,11.3,22.2,1,0,0,0,1,4,
poker-glossary,2150,9.1,27.0,6,0,0,113,15,3,
poker-kelly,1878,14.6,11.1,1,0,0,0,3,4,
poker-solvers,1208,11.3,19.0,2,0,0,10,15,4,
popularizers,609,11.5,12.9,2,0,0,16,15,4,
primes-mystery,641,6.8,47.2,4,0,1,1,12,2,
probability-paradoxes,737,7.2,0.0,0,0,0,0,0,4,
proof,643,6.9,36.7,5,0,0,8,15,2,
prospect-theory,566,14.0,0.0,0,0,0,7,2,4,thin:566w;section>45.1%:четыре квадранта принятия решений
pseudorandom,751,10.7,17.3,2,1,0,25,8,4,
regression-to-mean,712,8.7,0.0,0,0,0,2,3,4,section>44.9%:как отличить регрессию от реального эффекта
replication-crisis,1107,20.6,4.2,1,2,8,33,15,2,
rsa-primes,790,9.7,13.6,1,2,1,4,15,4,
simpson,672,8.4,28.6,1,0,2,0,2,3,
simulation,733,12.4,8.6,1,0,0,2,12,4,
skin-in-the-game,1154,15.7,14.3,1,0,0,3,2,4,
small-numbers,718,11.5,0.0,0,0,0,0,2,4,
terminal,656,12.6,12.9,1,0,0,24,7,4,
two-alphabets,769,13.3,12.9,1,0,0,6,15,4,
