slug,title,category_sec,category_title,date,chars_no_spaces,words,read_min_calc,read_min_declared,flag_readtime,footnote_markers,footnote_defs,flag_footnotes,footnotes_without_source,na_polyah,svyazannoe,upominaetsya_v,links_out,broken_links_count,broken_links,formulas,has_image,lowercase_headings_ok,lowercase_violations,eng_latin_count,eng_latin_tokens,eng_candidates_count,eng_candidates,typo_straight_double,typo_straight_single,typo_hyphen_em,typo_double_space,typo_three_dots,typo_space_dash,typo_total,literacy,literacy_note,material,material_note,actuality,actuality_note,actuality_refs,weird_phrasings,factcheck_flags,grammar
ab-testing,Почему p &lt; 0.05 — плохой порог.,s06,аналитика · платформы,2026.05,4744,856,6,8,no,4,4,no,0,0,1,1,36,0,,0,no,no,теорема Байеса объясняет почему,48,Basic; and; Applied; Social; Psychology; p-value; Statistical; Methods; for; Research; Workers; Why; Most; Published; Findings; Are; False; prevalence; Cohen's; relative; uplift; Peek; problem; sequential; testing; e-values; always-valid; p-values; Prior; Posterior-; guardrail; metrics; retention; Medicine; Trafimow; nwald; Heide; Koolen; Shafer; confidence,3,testing; Prior; Posterior-,0,0,0,0,0,0,0,,,,,,,,,,
adtech,Математика рекламного аукциона.,s06,аналитика · платформы,2026.05,4214,706,5,8,no,4,4,no,1,0,1,1,6,0,,0,no,no,CPM vs CPC vs CPA,61,ad-tech; programmatic; Real-Time; Bidding; bid; request; demand-side; platforms; supply-side; platform; first; price; first-price; Manager; The; Trade; Desk; header; floor; Second; shading; cost; per; mille; click; action; eCPM; effective; click-through; rate; conversion; Tension; revenue; retention; load; optimization; threshold; viewability; brand; safety,2,The; Trade,0,0,0,0,0,0,0,,,,,,,,,,
antifragile,"Антихрупкость. Что делать с тем, чего не знаешь.",s01,решения · неопределённость,2026.05,9978,1683,11,11,no,6,6,no,0,0,1,1,22,0,,0,no,yes,,12,barbell; via; negativa; Nassim; Nicholas; Antifragile; Things; That; Gain; from; Disorder; strategy,4,via; negativa; Antifragile; Via,0,0,0,0,0,0,0,,,,,,,,,,
auctions,Математика аукционов.,s06,аналитика · платформы,2026.05,4177,724,5,8,no,4,4,no,0,0,1,1,17,0,,0,no,no,вторая цена · Викри,28,dominant; strategy; incentive; compatibility; AdWords; unified; first-price; auction; header; bidding; Combinatorial; auctions; VCG-; matching; markets; Counterspeculation; and; Competitive; Sealed; Tenders; Journal; Finance; NP-; stable; expected; utility; Prospect; Theory,2,expected; utility,0,0,0,0,0,0,0,,,,,,,,,,
base-rate,Ошибка базовой частоты.,s03,поведение · искажения,2026.05,3990,750,5,7,no,4,4,no,0,0,1,1,16,0,,0,no,yes,,45,base; rate; neglect; Prior; availability; heuristic; prosecutor's; fallacy; p-value; likelihood; posterior; Casscells; Schoenberger; Graboys; Interpretation; physicians; clinical; laboratory; results; New; England; Journal; Medicine; the; psychology; prediction; Psychological; Review; Thompson; Schumann; Statistical; Evidence; Criminal; Trials; Law; and; Human; Behavior; Andrew; Gelman,8,base; Prior; prior; likelihood; posterior; Base; the; Data,0,0,0,0,0,0,0,,,,,,,,,,
bayes-four-faces,четыре лица теоремы Байеса.,s06,аналитика · платформы,,5908,1152,8,,no,0,0,no,0,1,1,1,21,0,,0,yes,yes,,7,prior; likelihood; evidence; marginal; posterior; iii; p-hacking,3,prior; likelihood; posterior,0,0,0,0,0,0,0,,,,,,,,,,
bayesian,Как обновлять убеждения.,s06,аналитика · платформы,2026.05,4463,797,5,8,no,4,4,no,0,0,1,1,30,0,,0,no,no,применение в A/B тестировании,32,Essay; towards; solving; Problem; the; Doctrine; Chances; Royal; Society; prior-; Prior; posterior; Probability; Theory; Logic; Science; p-value; Dynamic; Yield; Optimizely; beta-binomial; normal-normal; Philosophical; Transactions; base-rate; neglect; beta-prior; binomial; likelihood; Cambridge; availability; heuristic,9,the; prior-; Prior; posterior; The; prior; Posterior; beta-prior; likelihood,0,0,0,0,0,0,0,,,,,,,,,,
benford,Закон Бенфорда.,s03,поведение · искажения,2026.05,3808,668,4,6,no,4,4,no,0,0,1,0,6,0,,3,no,yes,,35,Reader's; Digest; PIN-; Enron; e-commerce; Note; the; Frequency; Use; Different; Digits; Natural; Numbers; American; Journal; Mathematics; Law; Anomalous; Proceedings; Philosophical; Society; Digital; Analysis; Using; Benford's; Global; Audit; Publications; Mebane; Presidential; Election; Iran; June; University; Michigan,2,the; The,0,0,0,0,0,0,0,,,,,,,,,,
black-swan,Чёрный лебедь. Почему редкое решает.,s01,решения · неопределённость,2026.05,9039,1603,11,11,no,7,7,no,1,0,1,1,20,0,,0,no,yes,,11,mediocristan; extremistan; Nassim; Nicholas; The; Black; Swan; David; Hume; Bertrand; Russell,3,The; Black; Swan,0,0,0,0,0,0,0,,,,,,,,,,
bookmaker-bayes,букмекер думает по Байесу.,s09,ставки · вероятность,,5756,1163,8,,no,0,0,no,0,1,1,1,14,0,,0,yes,no,где Байес заканчивается · бизнес,4,overround; live-; suspend; implied-,0,,0,0,0,0,0,0,0,,,,,,,,,,
